Timestamp, Field, Value
2015-11-20T16:38:23.303Z, MET.48.B, "8"
2015-11-20T16:38:29.783Z, MET.79.B, "8"
2015-11-20T16:38:32.809Z, MET.71.B, "4"
2015-11-20T16:38:36.218Z, MET.57.B, "8"
2015-11-20T16:38:38.873Z, MET.54.B, "5"
2015-11-20T16:38:43.418Z, MET.29.B, "6"
2015-11-20T16:38:51.372Z, MET.63.A, "dreamy"
2015-11-20T16:38:55.320Z, MET.62.A, "loving"
2015-11-20T16:38:59.641Z, MET.67.A, "composed"
2015-11-20T16:39:02.262Z, MET.21.A, "victorious"
2015-11-20T16:39:05.862Z, MET.71.A, "fearful"
2015-11-20T16:39:12.859Z, MET.24.A, "stunned"
2015-11-20T16:39:16.988Z, MET.54.A, "intimidated"
2015-11-20T16:39:19.497Z, MET.48.A, "carefree"
2015-11-20T16:39:27.619Z, MET.65.A, "disappointed"
2015-11-20T16:39:32.210Z, MET.68.A, "weary"
2015-11-20T16:39:37.441Z, MET.63.B, "7"
2015-11-20T16:39:41.839Z, MET.67.B, "5"
2015-11-20T16:39:45.282Z, MET.31.B, "4"
2015-11-20T16:40:02.112Z, MET.21.B, "6"
2015-11-20T16:40:07.107Z, MET.38.B, "7"
2015-11-20T16:40:10.584Z, MET.26.B, "8"
2015-11-20T16:40:13.036Z, MET.24.B, "5"
2015-11-20T16:40:27.211Z, MET.69.B, "5"
2015-11-20T16:40:30.192Z, MET.10.B, "8"
2015-11-20T16:40:36.965Z, MET.32.B, "3"
2015-11-20T16:40:45.729Z, MET.82.A, "disillusioned"
2015-11-20T16:40:50.015Z, MET.33.A, "satisfied"
2015-11-20T16:40:53.818Z, MET.32.A, "content"
2015-11-20T16:40:56.788Z, MET.26.A, "triumphant"
2015-11-20T16:41:00.669Z, MET.38.A, "confused"
2015-11-20T16:41:29.458Z, MET.69.A, "hopeless"
2015-11-20T16:41:36.602Z, MET.61.A, "adoring"
2015-11-20T16:41:59.125Z, MET.40.A, "crestfallen"
2015-11-20T16:42:06.100Z, MET.75.A, "pleading"
2015-11-20T16:42:12.883Z, MET.34.A, "distraught"
2015-11-20T16:42:19.296Z, MET.35.B, "7"
2015-11-20T16:42:23.503Z, MET.61.B, "5"
2015-11-20T16:42:27.373Z, MET.65.B, "8"
2015-11-20T16:42:31.052Z, MET.18.B, "8"
2015-11-20T16:42:36.565Z, MET.23.B, "3"
2015-11-20T16:42:45.160Z, MET.40.B, "3"
2015-11-20T16:42:50.313Z, MET.33.B, "3"
2015-11-20T16:42:55.544Z, MET.74.B, "5"
2015-11-20T16:43:00.100Z, MET.76.B, "7"
2015-11-20T16:43:04.791Z, MET.80.B, "8"
2015-11-20T16:43:20.350Z, MET.72.A, "animated"
2015-11-20T16:43:26.706Z, MET.23.A, "relaxed"
2015-11-20T16:43:30.138Z, MET.29.A, "frustrated"
2015-11-20T16:43:34.244Z, MET.77.A, "contemplative"
2015-11-20T16:43:39.003Z, MET.80.A, "pensive"
2015-11-20T16:43:57.610Z, MET.81.A, "despaired"
2015-11-20T16:44:05.272Z, MET.60.A, "sad"
2015-11-20T16:44:12.258Z, MET.35.A, "pained"
2015-11-20T16:44:15.554Z, MET.18.A, "dejected"
2015-11-20T16:44:21.798Z, MET.39.A, "appalled"
2015-11-20T16:44:31.890Z, MET.75.B, "6"
2015-11-20T16:44:34.758Z, MET.39.B, "7"
2015-11-20T16:44:38.651Z, MET.9.B, "6"
2015-11-20T16:44:45.896Z, MET.81.B, "5"
2015-11-20T16:44:49.631Z, MET.72.B, "7"
2015-11-20T16:44:52.893Z, MET.77.B, "7"
